time_center_iso,t_center_s,loc,R_660_940
2025-10-21T12:44:40.104,191.48,loc_3,1.064176880044609
2025-10-21T12:44:40.104,191.48,loc_4,1.0676513114942137
2025-10-21T12:44:40.104,191.48,loc_5,1.1122179196132511
2025-10-21T12:44:40.104,191.48,loc_6,3.5218131992885957
2025-10-21T12:44:40.104,191.48,loc_7,1.3675370275263556
2025-10-21T12:44:40.104,191.48,loc_8,1.938919445243332
2025-10-21T12:44:40.104,191.48,loc_9,2.08928655372689
2025-10-21T12:44:40.104,191.48,loc_10,0.8976334070439961
2025-10-21T12:44:40.104,191.48,loc_11,1.1477339705476748
2025-10-21T12:44:40.104,191.48,loc_12,1.2476985984895792
2025-10-21T12:44:40.977,192.48,loc_1,0.5642212352581623
2025-10-21T12:44:40.977,192.48,loc_2,0.683642780958646
2025-10-21T12:44:40.977,192.48,loc_3,1.0529205720927164
2025-10-21T12:44:40.977,192.48,loc_4,1.0383272967194568
2025-10-21T12:44:40.977,192.48,loc_5,1.1353523032477773
2025-10-21T12:44:40.977,192.48,loc_6,3.238409255717456
2025-10-21T12:44:40.977,192.48,loc_7,1.4175376493709164
2025-10-21T12:44:40.977,192.48,loc_8,1.888158823281516
2025-10-21T12:44:40.977,192.48,loc_9,2.0146193358428195
2025-10-21T12:44:40.977,192.48,loc_10,0.8945134085606289
2025-10-21T12:44:40.977,192.48,loc_11,1.2085365379591524
2025-10-21T12:44:40.977,192.48,loc_12,1.2091164456754135
2025-10-21T12:44:41.809,193.48,loc_1,0.7059613771365174
2025-10-21T12:44:41.809,193.48,loc_2,0.7416297891833966
2025-10-21T12:44:41.809,193.48,loc_3,1.0069769066891232
2025-10-21T12:44:41.809,193.48,loc_4,1.035055226696573
2025-10-21T12:44:41.809,193.48,loc_5,1.1070755008652797
2025-10-21T12:44:41.809,193.48,loc_6,2.7181158526394924
2025-10-21T12:44:41.809,193.48,loc_7,1.406398319791035
2025-10-21T12:44:41.809,193.48,loc_8,1.8430201360003344
2025-10-21T12:44:41.809,193.48,loc_9,2.3325442932904696
2025-10-21T12:44:41.809,193.48,loc_10,0.9200129500308023
2025-10-21T12:44:41.809,193.48,loc_11,1.2425766087939976
2025-10-21T12:44:41.809,193.48,loc_12,1.2023599427455858
2025-10-21T12:44:42.622,194.48,loc_1,0.7559765743802336
2025-10-21T12:44:42.622,194.48,loc_2,0.8425674149958124
2025-10-21T12:44:42.622,194.48,loc_3,1.0238255727949777
2025-10-21T12:44:42.622,194.48,loc_4,1.0510155139238972
2025-10-21T12:44:42.622,194.48,loc_5,1.0951211151945
2025-10-21T12:44:42.622,194.48,loc_6,2.783489846487333
2025-10-21T12:44:42.622,194.48,loc_7,1.5583759392432464
2025-10-21T12:44:42.622,194.48,loc_8,1.8996385587338538
2025-10-21T12:44:42.622,194.48,loc_9,2.4158808932445117
2025-10-21T12:44:42.622,194.48,loc_10,0.8822577269808323
2025-10-21T12:44:42.622,194.48,loc_11,1.2632492619973894
2025-10-21T12:44:42.622,194.48,loc_12,1.357544187503364
2025-10-21T12:44:43.439,195.48,loc_1,0.7014432420216563
2025-10-21T12:44:43.439,195.48,loc_2,0.8192205483388915
2025-10-21T12:44:43.439,195.48,loc_3,1.019468452181406
2025-10-21T12:44:43.439,195.48,loc_4,1.0421951202260378
2025-10-21T12:44:43.439,195.48,loc_5,1.0758962970224797
2025-10-21T12:44:43.439,195.48,loc_6,2.9601492672922882
2025-10-21T12:44:43.439,195.48,loc_7,1.5013464180444254
2025-10-21T12:44:43.439,195.48,loc_8,1.9270605048632576
2025-10-21T12:44:43.439,195.48,loc_9,2.567012917423458
2025-10-21T12:44:43.439,195.48,loc_10,0.8851796398572233
2025-10-21T12:44:43.439,195.48,loc_11,1.3217685844554676
2025-10-21T12:44:43.439,195.48,loc_12,1.376839809387248
2025-10-21T12:44:44.306,196.48,loc_1,0.6752743716988312
2025-10-21T12:44:44.306,196.48,loc_2,0.72713256736641
2025-10-21T12:44:44.306,196.48,loc_3,1.0042986109543408
2025-10-21T12:44:44.306,196.48,loc_4,1.045385706383077
2025-10-21T12:44:44.306,196.48,loc_5,1.065154502648811
2025-10-21T12:44:44.306,196.48,loc_6,3.782479425206935
2025-10-21T12:44:44.306,196.48,loc_7,1.39482390657101
2025-10-21T12:44:44.306,196.48,loc_8,2.089416164513344
